date,return,equity,sample
2026-05-22,-0.001155,0.998845,IS
2026-05-26,-0.006188,0.992664,IS
2026-05-27,0.002980,0.995622,IS
2026-05-28,-0.006885,0.988767,IS
2026-05-29,-0.018421,0.970554,IS
2026-06-01,-0.012018,0.958889,IS
2026-06-02,-0.016281,0.943278,IS
2026-06-03,0.002842,0.945958,IS
2026-06-04,0.014963,0.960112,IS
2026-06-05,0.045264,1.003570,IS
2026-06-08,-0.008216,0.995325,IS
2026-06-09,-0.002882,0.992457,IS
2026-06-10,-0.006957,0.985552,IS
2026-06-11,0.013432,0.998790,IS
2026-06-12,0.004109,1.002894,IS
2026-06-15,0.018686,1.021634,IS
2026-06-16,-0.000728,1.020891,IS
2026-06-17,-0.015227,1.005345,IS
2026-06-18,-0.023349,0.981872,IS
2026-06-22,-0.019634,0.962593,IS
2026-06-23,0.047223,1.008050,IS
2026-06-24,0.004352,1.012437,IS
2026-06-25,-0.023455,0.988690,IS
2026-06-26,0.031762,1.020093,IS
2026-06-29,-0.002219,1.017829,IS
2026-06-30,-0.001872,1.015923,IS
2026-07-01,0.002591,1.018556,IS
2026-07-02,-0.001998,1.016520,IS
2026-07-06,0.011278,1.027985,IS
2026-07-07,-0.015059,1.012504,IS
2026-07-08,0.016735,1.029448,IS
2026-07-09,0.017136,1.047089,IS
2026-07-10,0.001428,1.048584,IS
2026-07-13,-0.018585,1.029096,IS
2026-07-14,0.015475,1.045021,IS
2026-07-15,-0.003877,1.040970,IS
2026-07-16,-0.006323,1.034388,IS
2026-07-17,0.000303,1.034701,OOS
2026-07-20,-0.002794,1.031810,OOS
2026-07-21,0.030356,1.063131,OOS
2026-07-22,0.003215,1.066550,OOS
2026-07-23,-0.001494,1.064956,OOS
2026-07-24,-0.012868,1.051252,OOS
2026-07-27,0.007252,1.058875,OOS
2026-07-28,0.008156,1.067512,OOS
2026-07-29,0.000975,1.068553,OOS
2026-07-30,0.019224,1.089094,OOS
2026-07-31,0.012359,1.102555,OOS
2026-08-03,0.018064,1.122472,OOS
2026-08-04,0.026371,1.152072,OOS
2026-08-05,-0.004043,1.147415,OOS
2026-08-06,0.005610,1.153851,OOS
2026-08-07,-0.006612,1.146222,OOS
2026-08-10,0.006169,1.153294,OOS
2026-08-11,-0.000482,1.152738,OOS
2026-08-12,-0.007985,1.143534,OOS
2026-08-13,-0.000228,1.143273,OOS
2026-08-14,0.004353,1.148249,OOS
2026-08-17,-0.003739,1.143955,OOS
2026-08-18,0.016467,1.162793,OOS
2026-08-19,0.014413,1.179552,OOS
2026-08-20,-0.005825,1.172681,OOS
2026-08-21,0.004050,1.177430,OOS
2026-08-24,0.000449,1.177959,OOS
2026-08-25,0.005991,1.185016,OOS
2026-08-26,0.009504,1.196279,OOS
2026-08-27,-0.002411,1.193394,OOS
2026-08-28,-0.003209,1.189565,OOS
2026-08-31,0.003481,1.193705,OOS
2026-09-01,0.004969,1.199637,OOS
2026-09-02,-0.004279,1.194504,OOS
2026-09-03,-0.007571,1.185461,OOS
2026-09-04,0.012581,1.200374,OOS
2026-09-08,0.000550,1.201034,OOS
2026-09-09,-0.003304,1.197066,OOS
