window_end,sharpe_30
2026-07-07,0.5051
2026-07-08,1.0247
2026-07-09,1.6946
2026-07-10,1.6494
2026-07-13,1.2860
2026-07-14,2.2846
2026-07-15,2.5437
2026-07-16,2.8788
2026-07-17,2.8022
2026-07-20,2.2891
2026-07-21,1.9613
2026-07-22,2.3406
2026-07-23,2.3870
2026-07-24,2.1777
2026-07-27,1.9940
2026-07-28,2.1190
2026-07-29,1.5824
2026-07-30,2.1890
2026-07-31,3.1132
2026-08-03,4.6160
2026-08-04,6.2376
2026-08-05,5.1502
2026-08-06,5.1985
2026-08-07,6.2539
2026-08-10,5.6514
2026-08-11,5.7439
2026-08-12,5.3918
2026-08-13,5.2555
2026-08-14,5.5638
2026-08-17,4.8884
2026-08-18,6.4782
2026-08-19,6.4139
2026-08-20,5.3961
2026-08-21,5.5232
2026-08-24,6.9044
2026-08-25,6.5505
2026-08-26,7.2907
2026-08-27,7.5830
2026-08-28,7.3451
2026-08-31,7.7440
2026-09-01,7.2914
2026-09-02,6.7455
2026-09-03,6.2558
2026-09-04,8.0817
2026-09-08,7.6672
2026-09-09,6.9198
